Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
rf_sig_fs_nogarch_50_20,-0.30979678471543304,0.4914,42.173396697736024,0.2193,Weak model,False,,50,20
rf_sig_fs_nogarch_50_5,-0.2977560103615826,0.5033,10.487443157461996,0.7695,Weak model,False,,50,5
xgb_sig_fs_75_50_5,-0.5155103836376947,0.2287,43.47470538806559,0.2188,Weak model,True,75,50,5
rf_sig_fs_nogarch_8_50,-0.30657176511905126,0.4956,52.230955255765124,0.1308,Weak model,False,,8,50
rf_sig_fs_nogarch_8_20,-0.30657176511905126,0.4956,52.230955255765124,0.1308,Weak model,False,,8,20
rf_sig_fs_nogarch_8_10,-0.30657176511905126,0.4956,52.230955255765124,0.1308,Weak model,False,,8,10
rf_sig_fs_nogarch_8_5,-0.2947248701570221,0.5085,20.8271341079883,0.5655,Weak model,False,,8,5
rf_sig_fs_nogarch_5_50,-0.3011078800537692,0.5033,56.45462139108121,0.1085,Weak model,False,,5,50
rf_sig_fs_nogarch_5_20,-0.3011078800537692,0.5033,56.45462139108121,0.1085,Weak model,False,,5,20
xgb_sig_fs_75_8_5,-0.5547320191353101,0.1908,66.78470556199765,0.0523,Weak model,True,75,8,5
xgb_sig_fs_75_50_10,-0.4832908350737708,0.2607,48.725351708094045,0.1694,Weak model,True,75,50,10
rsi_garch_50_5_10,-0.4626013023600837,0.1899,13.82220573435626,0.0749,Weak model,True,50,5,10
xgb_sig_fs_90_50_10,-0.7076815592855572,0.1012,62.59074152211038,0.0747,Weak model,True,90,50,10
xgb_sig_fs_nogarch_3_50,-0.7552455253443683,0.0786,69.14988546624262,0.0766,Weak model,False,,3,50
xgb_sig_fs_nogarch_3_20,-0.7552455253443683,0.0786,69.14988546624262,0.0766,Weak model,False,,3,20
xgb_sig_fs_nogarch_3_10,-0.7552455253443683,0.0786,69.14988546624262,0.0766,Weak model,False,,3,10
xgb_sig_fs_nogarch_3_5,-0.8181704572124293,0.0545,68.18958886779801,0.0746,Weak model,False,,3,5
xgb_sig_fs_90_50_50,-0.7076815592855572,0.1012,62.59074152211038,0.0747,Weak model,True,90,50,50
xgb_sig_fs_90_50_20,-0.7076815592855572,0.1012,62.59074152211038,0.0747,Weak model,True,90,50,20
xgb_sig_fs_90_50_5,-0.746971396736729,0.0808,54.938151338221495,0.1189,Weak model,True,90,50,5
xgb_sig_fs_75_50_20,-0.4832908350737708,0.2607,48.725351708094045,0.1694,Weak model,True,75,50,20
xgb_sig_fs_90_8_5,-0.7578406018544499,0.0759,67.514458258269,0.0535,Weak model,True,90,8,5
xgb_sig_fs_90_5_50,-0.7647802656493208,0.0738,67.03357567102208,0.0583,Weak model,True,90,5,50
xgb_sig_fs_90_5_20,-0.7647802656493208,0.0738,67.03357567102208,0.0583,Weak model,True,90,5,20
xgb_sig_fs_90_5_10,-0.7647802656493208,0.0738,67.03357567102208,0.0583,Weak model,True,90,5,10
xgb_sig_fs_90_5_5,-0.8037397846435507,0.0571,59.18254190136078,0.0951,Weak model,True,90,5,5
xgb_sig_fs_75_50_50,-0.4832908350737708,0.2607,48.725351708094045,0.1694,Weak model,True,75,50,50
rsi_garch_50_5_5,-0.4712799583009101,0.1792,11.365653323655133,0.141,Weak model,True,50,5,5
rsi_garch_50_5_20,-0.4626013023600837,0.1899,13.82220573435626,0.0749,Weak model,True,50,5,20
xgb_sig_fs_nogarch_5_10,-0.7008066336792808,0.1045,47.13019425214938,0.2368,Weak model,False,,5,10
rf_sig_fs_75_8_5,-0.25510568878767037,0.5589,13.242190044152547,0.6566,Weak model,True,75,8,5
rf_sig_fs_75_50_20,-0.13149030066455425,0.7687,18.22286673400351,0.5593,Weak model,True,75,50,20
rf_sig_fs_75_50_10,-0.15969611425954255,0.7247,14.098566799786973,0.646,Weak model,True,75,50,10
rf_sig_fs_75_50_5,-0.2288341941542409,0.6093,-14.144481790240185,0.6385,Weak model,True,75,50,5
rf_sig_fs_75_8_50,-0.17490873531611917,0.6918,57.466356071964654,0.0642,Weak model,True,75,8,50
rf_sig_fs_75_8_20,-0.17490873531611917,0.6918,57.466356071964654,0.0642,Weak model,True,75,8,20
rf_sig_fs_75_8_10,-0.2023153159392106,0.6465,52.26152321698413,0.0804,Weak model,True,75,8,10
rf_sig_fs_75_5_50,-0.07198331283510162,0.8699,39.96082383928339,0.2444,Weak model,True,75,5,50
xgb_nofs_nogarch_8_10,-0.7952617510145041,0.059,27.07859827960601,0.4692,Weak model,False,,8,10
rf_sig_fs_75_5_20,-0.07198331283510162,0.8699,39.96082383928339,0.2444,Weak model,True,75,5,20
rf_sig_fs_75_5_10,-0.09910985143417328,0.8222,35.29152787357104,0.2913,Weak model,True,75,5,10
rf_sig_fs_75_5_5,-0.15155013334217082,0.734,-7.016248210806452,0.8304,Weak model,True,75,5,5
rf_sig_fs_75_3_5,-0.29211400799105924,0.4932,40.81225519874111,0.197,Weak model,True,75,3,5
rf_sig_fs_50_50_50,-0.14821150623703983,0.7482,44.527526390173904,0.0547,Weak model,True,50,50,50
rf_sig_fs_50_50_20,-0.14821150623703983,0.7482,44.527526390173904,0.0547,Weak model,True,50,50,20
rf_sig_fs_75_50_50,-0.13149030066455425,0.7687,18.22286673400351,0.5593,Weak model,True,75,50,50
rf_sig_fs_90_8_5,-0.320353231572475,0.4754,43.43579669730917,0.192,Weak model,True,90,8,5
rsi_garch_50_5_50,-0.4626013023600837,0.1899,13.82220573435626,0.0749,Weak model,True,50,5,50
rsi_garch_50_50_20,-0.4626013023600837,0.1899,13.82220573435626,0.0749,Weak model,True,50,50,20
rsi_garch_50_8_5,-0.4712799583009101,0.1792,11.365653323655133,0.141,Weak model,True,50,8,5
rsi_garch_50_8_10,-0.4626013023600837,0.1899,13.82220573435626,0.0749,Weak model,True,50,8,10
rsi_garch_50_8_20,-0.4626013023600837,0.1899,13.82220573435626,0.0749,Weak model,True,50,8,20
rsi_garch_50_8_50,-0.4626013023600837,0.1899,13.82220573435626,0.0749,Weak model,True,50,8,50
rsi_garch_50_50_5,-0.4712799583009101,0.1792,11.365653323655133,0.141,Weak model,True,50,50,5
rsi_garch_50_50_10,-0.4626013023600837,0.1899,13.82220573435626,0.0749,Weak model,True,50,50,10
rsi_garch_50_50_50,-0.4626013023600837,0.1899,13.82220573435626,0.0749,Weak model,True,50,50,50
rf_sig_fs_90_50_5,-0.29582022413040265,0.5101,11.810122137522605,0.7172,Weak model,True,90,50,5
rf_sig_fs_nogarch_5_10,-0.3011078800537692,0.5033,56.45462139108121,0.1085,Weak model,False,,5,10
rf_sig_fs_nogarch_5_5,-0.2895413347393305,0.5155,25.251725518710835,0.4926,Weak model,False,,5,5
rf_sig_fs_nogarch_3_5,-0.3189702682001514,0.4771,39.28654776389567,0.2997,Weak model,False,,3,5
rf_sig_fs_90_50_50,-0.3003423356471172,0.5068,54.492651483857784,0.0846,Weak model,True,90,50,50
rf_sig_fs_90_50_20,-0.3003423356471172,0.5068,54.492651483857784,0.0846,Weak model,True,90,50,20
rf_sig_fs_90_50_10,-0.3003423356471172,0.5068,54.492651483857784,0.0846,Weak model,True,90,50,10
xgb_sig_fs_nogarch_5_5,-0.7639371453587133,0.0755,46.82205000502395,0.2346,Weak model,False,,5,5
xgb_sig_fs_nogarch_5_20,-0.7008066336792808,0.1045,47.13019425214938,0.2368,Weak model,False,,5,20
rf_sig_fs_50_50_10,-0.17455731996997037,0.706,37.23753629328812,0.1012,Weak model,True,50,50,10
mlp_pca_sig_90_8_50,-0.54772733435189,0.1911,42.907827692126695,0.2011,Weak model,True,90,8,50
mlp_pca_sig_90_50_20,-0.54772733435189,0.1911,42.907827692126695,0.2011,Weak model,True,90,50,20
bb_garch_50_8_10,-0.4781263070397497,0.1858,-10.921061944707825,0.1052,Weak model,True,50,8,10
bb_garch_50_8_20,-0.4781263070397497,0.1858,-10.921061944707825,0.1052,Weak model,True,50,8,20
bb_garch_50_8_50,-0.4781263070397497,0.1858,-10.921061944707825,0.1052,Weak model,True,50,8,50
mlp_pca_sig_90_50_10,-0.54772733435189,0.1911,42.907827692126695,0.2011,Weak model,True,90,50,10
mlp_pca_sig_90_50_5,-0.5323257132700511,0.2035,37.16860504580881,0.2699,Weak model,True,90,50,5
mlp_pca_sig_90_8_20,-0.54772733435189,0.1911,42.907827692126695,0.2011,Weak model,True,90,8,20
bb_garch_50_5_20,-0.46351269386590077,0.1946,-13.30817334537479,0.0566,Weak model,True,50,5,20
mlp_pca_sig_90_8_10,-0.54772733435189,0.1911,42.907827692126695,0.2011,Weak model,True,90,8,10
mlp_pca_sig_90_8_5,-0.5323257132700511,0.2035,37.16860504580881,0.2699,Weak model,True,90,8,5
mlp_pca_sig_90_5_50,-0.6731111258751096,0.1086,59.08333898142769,0.0739,Weak model,True,90,5,50
mlp_pca_sig_90_5_20,-0.6731111258751096,0.1086,59.08333898142769,0.0739,Weak model,True,90,5,20
mlp_pca_sig_90_5_10,-0.6731111258751096,0.1086,59.08333898142769,0.0739,Weak model,True,90,5,10
mlp_pca_sig_90_5_5,-0.6575486548627141,0.1155,53.77750397724647,0.1076,Weak model,True,90,5,5
bb_garch_50_5_50,-0.46351269386590077,0.1946,-13.30817334537479,0.0566,Weak model,True,50,5,50
bb_garch_50_5_10,-0.46351269386590077,0.1946,-13.30817334537479,0.0566,Weak model,True,50,5,10
mlp_pca_sig_75_50_20,-0.39631030264624867,0.3507,18.87165305263539,0.5412,Weak model,True,75,50,20
mlp_pca_sig_nogarch_8_5,-0.5334624562700535,0.2093,5.74596418237244,0.8775,Weak model,False,,8,5
mlp_pca_sig_nogarch_50_20,-0.5461956650623281,0.1983,8.120153567229249,0.829,Weak model,False,,50,20
mlp_pca_sig_nogarch_50_10,-0.5461956650623281,0.1983,8.120153567229249,0.829,Weak model,False,,50,10
mlp_pca_sig_nogarch_50_5,-0.5306166688938894,0.2122,2.2019170196510025,0.9536,Weak model,False,,50,5
mlp_pca_sig_nogarch_8_50,-0.5491342618233113,0.1965,11.755163118635423,0.7485,Weak model,False,,8,50
mlp_pca_sig_nogarch_8_20,-0.5491342618233113,0.1965,11.755163118635423,0.7485,Weak model,False,,8,20
mlp_pca_sig_nogarch_8_10,-0.5491342618233113,0.1965,11.755163118635423,0.7485,Weak model,False,,8,10
mlp_pca_sig_nogarch_5_50,-0.6143927634964503,0.1474,27.458830413787084,0.4449,Weak model,False,,5,50
mlp_pca_sig_90_50_50,-0.54772733435189,0.1911,42.907827692126695,0.2011,Weak model,True,90,50,50
mlp_pca_sig_nogarch_5_20,-0.6143927634964503,0.1474,27.458830413787084,0.4449,Weak model,False,,5,20
mlp_pca_sig_nogarch_5_10,-0.6143927634964503,0.1474,27.458830413787084,0.4449,Weak model,False,,5,10
mlp_pca_sig_nogarch_5_5,-0.59898324265207,0.1569,21.96325553288221,0.5448,Weak model,False,,5,5
bb_garch_50_3_10,-0.4311805656827159,0.2224,-12.41422988003946,0.0748,Weak model,True,50,3,10
bb_garch_50_3_20,-0.4311805656827159,0.2224,-12.41422988003946,0.0748,Weak model,True,50,3,20
bb_garch_50_3_50,-0.4311805656827159,0.2224,-12.41422988003946,0.0748,Weak model,True,50,3,50
mlp_pca_sig_75_50_50,-0.39631030264624867,0.3507,18.87165305263539,0.5412,Weak model,True,75,50,50
mlp_pca_sig_75_50_10,-0.39631030264624867,0.3507,18.87165305263539,0.5412,Weak model,True,75,50,10
xgb_sig_fs_nogarch_5_50,-0.7008066336792808,0.1045,47.13019425214938,0.2368,Weak model,False,,5,50
xgb_sig_fs_nogarch_50_50,-0.7352495283414312,0.0893,49.069284622886755,0.2061,Weak model,False,,50,50
