Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
xgb_sig_fs_75_3_50,-0.49575555846997543,0.4602,163.0307181401763,0.3687,Weak model,True,75,3,50
xgb_sig_fs_75_5_5,-0.8923246042564771,0.1815,-207.77732268543576,0.1894,Weak model,True,75,5,5
xgb_sig_fs_75_5_10,-0.5950164594907404,0.364,-173.6696258323471,0.3272,Weak model,True,75,5,10
xgb_sig_fs_75_5_20,-0.5420770077154045,0.4236,-90.5272164147518,0.6034,Weak model,True,75,5,20
xgb_sig_fs_75_5_50,-0.5457734760220976,0.4228,-55.955080445199286,0.7414,Weak model,True,75,5,50
xgb_sig_fs_75_8_5,-0.9231294602519787,0.1707,-285.8862710806031,0.0641,Weak model,True,75,8,5
xgb_sig_fs_75_8_10,-0.5984777464686486,0.365,-260.0313666273915,0.1401,Weak model,True,75,8,10
xgb_sig_fs_75_8_20,-0.5457189991029061,0.4199,-179.57500879753383,0.2994,Weak model,True,75,8,20
xgb_sig_fs_75_8_50,-0.5493636876980653,0.4211,-143.5541567281797,0.3971,Weak model,True,75,8,50
xgb_sig_fs_75_50_10,-0.5147532054315961,0.4417,-298.94915596963807,0.0927,Weak model,True,75,50,10
xgb_sig_fs_75_50_20,-0.4620960703752601,0.4973,-216.33293650084588,0.2161,Weak model,True,75,50,20
mlp_pca_sig_50_3_5,-0.7690451712550088,0.2363,-13.12816473919385,0.9238,Weak model,True,50,3,5
mlp_pca_sig_50_5_5,-0.6817403999018993,0.3012,-120.7476796971567,0.4162,Weak model,True,50,5,5
mlp_sig_50_50_10,-0.3460720668509758,0.619,-129.50326475184045,0.3049,Weak model,True,50,50,10
mlp_pca_sig_nogarch_3_5,-0.8455281371304156,0.2288,231.83986721742272,0.1356,Weak model,False,,3,5
mlp_pca_sig_90_5_20,-0.4094054341047628,0.5546,106.53187781602634,0.5074,Weak model,True,90,5,20
mlp_pca_sig_90_5_50,-0.4094054341047628,0.5546,106.53187781602634,0.5074,Weak model,True,90,5,50
mlp_pca_sig_90_8_5,-0.8058628074699861,0.2485,-112.47246377779827,0.4128,Weak model,True,90,8,5
mlp_pca_sig_90_8_10,-0.6514255116769124,0.3515,81.82937093213695,0.5641,Weak model,True,90,8,10
mlp_pca_sig_90_8_20,-0.6319662091406115,0.3685,155.907443558588,0.2601,Weak model,True,90,8,20
mlp_pca_sig_90_8_50,-0.6319662091406115,0.3685,155.907443558588,0.2601,Weak model,True,90,8,50
mlp_pca_sig_90_50_5,-0.6541219368022342,0.3568,-268.0838781201986,0.0629,Weak model,True,90,50,5
mlp_pca_sig_90_50_10,-0.49324824037604265,0.4838,-88.3893554355302,0.56,Weak model,True,90,50,10
mlp_pca_sig_90_50_20,-0.47363345779709043,0.5039,-5.143299987182488,0.9702,Weak model,True,90,50,20
mlp_pca_sig_90_50_50,-0.47363345779709043,0.5039,-5.143299987182488,0.9702,Weak model,True,90,50,50
mlp_pca_sig_nogarch_5_5,-0.6505766475674554,0.3574,-176.076722277059,0.2868,Weak model,False,,5,5
mlp_pca_sig_50_5_10,-0.8076213970694658,0.2352,102.48192080292705,0.411,Weak model,True,50,5,10
mlp_pca_sig_nogarch_5_10,-0.5388227742168121,0.4451,95.94831409702755,0.5703,Weak model,False,,5,10
mlp_pca_sig_nogarch_5_20,-0.5085785781833958,0.4702,166.59122803263563,0.315,Weak model,False,,5,20
mlp_pca_sig_nogarch_5_50,-0.5085785781833958,0.4702,166.59122803263563,0.315,Weak model,False,,5,50
mlp_pca_sig_nogarch_8_5,-0.7250014530603165,0.3102,-125.27188121584413,0.4169,Weak model,False,,8,5
mlp_pca_sig_nogarch_8_10,-0.6071164084466047,0.3918,103.64099057048315,0.5134,Weak model,False,,8,10
mlp_pca_sig_nogarch_8_20,-0.5768028097503493,0.4171,171.4660370503798,0.269,Weak model,False,,8,20
mlp_pca_sig_nogarch_8_50,-0.5768028097503493,0.4171,171.4660370503798,0.269,Weak model,False,,8,50
mlp_pca_sig_nogarch_50_5,-0.6777105351821107,0.3427,-279.5689715392859,0.0745,Weak model,False,,50,5
mlp_pca_sig_nogarch_50_10,-0.5595290657028668,0.4334,-47.2506350527934,0.7724,Weak model,False,,50,10
mlp_pca_sig_nogarch_50_20,-0.5292213061327828,0.458,23.963308535582982,0.8812,Weak model,False,,50,20
mlp_pca_sig_90_5_10,-0.4292488463836638,0.5346,20.61317831203705,0.9064,Weak model,True,90,5,10
mlp_pca_sig_90_5_5,-0.6007482121443429,0.3876,-219.19465908710592,0.1678,Weak model,True,90,5,5
mlp_pca_sig_90_3_5,-0.9068698968469933,0.183,176.67545517872563,0.2362,Weak model,True,90,3,5
mlp_pca_sig_75_50_50,-0.48069166307766165,0.4887,35.12676505885132,0.7932,Weak model,True,75,50,50
mlp_pca_sig_50_5_20,-0.7092008463037911,0.302,152.81712474501148,0.2085,Weak model,True,50,5,20
mlp_pca_sig_50_5_50,-0.6800901619700738,0.3231,153.91207891788963,0.2035,Weak model,True,50,5,50
mlp_pca_sig_50_8_5,-0.5974199797520754,0.3625,-212.06314316291238,0.1325,Weak model,True,50,8,5
mlp_pca_sig_50_8_10,-0.6106203387469119,0.3668,-20.175008091419716,0.8713,Weak model,True,50,8,10
mlp_pca_sig_50_8_20,-0.39184784360906577,0.5627,35.43711507162911,0.7846,Weak model,True,50,8,20
mlp_pca_sig_50_8_50,-0.3628381197913827,0.5918,36.65777863847045,0.7797,Weak model,True,50,8,50
mlp_pca_sig_50_50_10,-0.5767239950661266,0.4173,-100.33262877019874,0.428,Weak model,True,50,50,10
mlp_pca_sig_50_50_20,-0.48677655882118587,0.4967,-25.00968803598416,0.8378,Weak model,True,50,50,20
mlp_pca_sig_50_50_50,-0.4577139832051843,0.5237,-23.927513346096173,0.8455,Weak model,True,50,50,50
mlp_pca_sig_75_3_5,-0.8940348271413056,0.1836,170.83290249799026,0.2134,Weak model,True,75,3,5
mlp_pca_sig_75_5_5,-0.6437862413084514,0.3475,-108.59467226320382,0.4555,Weak model,True,75,5,5
mlp_pca_sig_75_5_10,-0.6847484055183979,0.3197,105.83324000703134,0.4432,Weak model,True,75,5,10
mlp_pca_sig_75_5_20,-0.6283449972289716,0.3634,158.43561154233092,0.2457,Weak model,True,75,5,20
mlp_pca_sig_75_5_50,-0.6283449972289716,0.3634,158.43561154233092,0.2457,Weak model,True,75,5,50
mlp_pca_sig_75_8_5,-0.7348543467505728,0.2852,-81.9007452985787,0.5293,Weak model,True,75,8,5
mlp_pca_sig_75_8_10,-0.6558497155278197,0.3388,62.195204119078426,0.6352,Weak model,True,75,8,10
mlp_pca_sig_75_8_20,-0.599180875396164,0.3795,113.50671701798757,0.3796,Weak model,True,75,8,20
mlp_pca_sig_75_8_50,-0.599180875396164,0.3795,113.50671701798757,0.3796,Weak model,True,75,8,50
mlp_pca_sig_75_50_5,-0.6165558015955392,0.3841,-165.5674872351521,0.2309,Weak model,True,75,50,5
mlp_pca_sig_75_50_10,-0.5373533061200136,0.4408,-18.226751068317128,0.8937,Weak model,True,75,50,10
mlp_pca_sig_75_50_20,-0.48069166307766165,0.4887,35.12676505885132,0.7932,Weak model,True,75,50,20
xgb_sig_fs_50_8_5,-0.786553524229148,0.2293,-82.63106973584134,0.5641,Weak model,True,50,8,5
xgb_sig_fs_50_5_50,-0.7349512552043671,0.2705,230.4948954122317,0.0773,Weak model,True,50,5,50
xgb_sig_fs_50_5_20,-0.6712697932109741,0.3091,201.3012085193905,0.1464,Weak model,True,50,5,20
rf_sig_fs_50_3_5,-0.687381147805524,0.2461,20.338160267525094,0.8314,Weak model,True,50,3,5
mlp_sig_nogarch_5_5,-0.6422376547480817,0.3731,-223.70135845330392,0.1641,Weak model,False,,5,5
