Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
rf_sig_75_50_10,-0.24592882491854273,0.7643,-576.8164669493376,0.0221,Potential signal (strategy not outperforming),True,75,50,10
rf_sig_75_50_5,-0.28562851936162115,0.7241,-888.3983686310447,0.0015,Potential signal (strategy not outperforming),True,75,50,5
rf_sig_75_8_50,-0.3330667600179198,0.7054,483.4543586284794,0.0175,Potential signal (strategy not outperforming),True,75,8,50
rf_nofs_50_3_10,-0.8143534068456061,0.2807,908.7548673542406,0.0007,Potential signal (strategy not outperforming),True,50,3,10
rf_nofs_50_3_20,-0.7578115200179771,0.3426,851.7484913471066,0.0003,Potential signal (strategy not outperforming),True,50,3,20
rf_nofs_50_3_50,-0.515984075134141,0.5483,807.2438579541068,0.0002,Potential signal (strategy not outperforming),True,50,3,50
rf_sig_75_5_50,-0.35623501295555804,0.6831,774.0411565795713,0.0006,Potential signal (strategy not outperforming),True,75,5,50
rf_sig_75_5_20,-0.1391603517722796,0.87,703.7785233659936,0.0448,Potential signal (strategy not outperforming),True,75,5,20
rf_nofs_50_5_10,-0.8639781240691905,0.2561,720.803157773722,0.0032,Potential signal (strategy not outperforming),True,50,5,10
rf_sig_75_3_50,-0.5158573888021049,0.5586,1122.69898614263,0.0,Potential signal (strategy not outperforming),True,75,3,50
rf_sig_75_3_20,-0.30882560244174595,0.7116,1206.319356375011,0.0014,Potential signal (strategy not outperforming),True,75,3,20
rf_sig_75_3_10,-0.5847054568603773,0.4541,933.1094031722382,0.0104,Potential signal (strategy not outperforming),True,75,3,10
rf_sig_75_3_5,-0.882659748970058,0.2497,931.3768158300104,0.0106,Potential signal (strategy not outperforming),True,75,3,5
bb_pure_3_5,-0.27874573017358395,0.6995,-1331.7025358382934,0.0,Potential signal (strategy not outperforming),False,,3,5
