Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
rf_75_50_20,0.4705527565942459,0.6039,-416.019795579307,0.134,Weak model,True,75,50,20
mlp_nogarch_8_50,-0.5279028549992534,0.5279,-295.2988439845357,0.5876,Weak model,False,,8,50
mlp_nogarch_50_10,-0.5284363568791943,0.5266,-780.4058989386583,0.1448,Weak model,False,,50,10
mlp_nogarch_50_20,-0.5433513939654266,0.5161,-471.1388388502477,0.379,Weak model,False,,50,20
mlp_nogarch_50_50,-0.5433513939654266,0.5161,-471.1388388502477,0.379,Weak model,False,,50,50
rf_50_3_5,-0.35570401090087145,0.6523,738.6597602492132,0.0524,Weak model,True,50,3,5
rf_50_5_5,-0.4850280548609984,0.5482,577.637784612828,0.0857,Weak model,True,50,5,5
rf_50_8_5,-0.2752245255313408,0.7359,104.70807342733973,0.7112,Weak model,True,50,8,5
rf_50_8_20,0.12928955972258904,0.8886,390.72241245569865,0.0877,Weak model,True,50,8,20
rf_50_50_5,0.17925902018065387,0.8364,-345.253031142937,0.1609,Weak model,True,50,50,5
rf_50_50_10,0.18304119251281592,0.8354,-11.926775560520596,0.9546,Weak model,True,50,50,10
rf_50_50_20,0.49296295158478176,0.5795,-154.4901520487398,0.4512,Weak model,True,50,50,20
rf_50_50_50,0.2977671871780071,0.7489,75.73165675073831,0.576,Weak model,True,50,50,50
rf_75_5_5,-0.35964417756730704,0.6657,351.28876742789686,0.3361,Weak model,True,75,5,5
rf_75_5_10,-0.17552348348912883,0.8376,521.2786783421668,0.1636,Weak model,True,75,5,10
rf_75_5_20,0.28404873839871014,0.749,717.6860565621544,0.0654,Weak model,True,75,5,20
rf_75_8_5,-0.23075653163327214,0.7864,-283.22743287417575,0.4232,Weak model,True,75,8,5
rf_75_8_10,-0.014155655371152265,0.9863,-12.571480368940286,0.9699,Weak model,True,75,8,10
rf_75_8_20,0.3584220336645032,0.6872,74.06597119036448,0.8337,Weak model,True,75,8,20
rf_75_8_50,0.09014233015306994,0.9282,357.13250849917205,0.1085,Weak model,True,75,8,50
