Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
mlp_75_5_50,-0.4133097900100956,0.2523,-22.346670276363692,0.635,Weak model,True,75,5,50
mlp_50_3_10,-0.46282082506634636,0.1752,49.422168775158156,0.2604,Weak model,True,50,3,10
mlp_75_5_10,-0.3656230716204528,0.3025,-42.53378797518654,0.3866,Weak model,True,75,5,10
mlp_75_5_5,-0.48175627299065693,0.1645,-71.12492226780265,0.1362,Weak model,True,75,5,5
mlp_75_3_50,-0.5032773898629032,0.1582,32.659986005350525,0.4866,Weak model,True,75,3,50
mlp_75_3_20,-0.5032773898629032,0.1582,32.659986005350525,0.4866,Weak model,True,75,3,20
rf_nofs_90_8_5,-0.1371526363309702,0.7166,-50.34624530749351,0.1165,Weak model,True,90,8,5
mlp_75_3_5,-0.5827093159888963,0.0876,2.0743639211175218,0.9631,Weak model,True,75,3,5
mlp_50_50_50,-0.38475893904763914,0.2702,-1.83468631342821,0.9662,Weak model,True,50,50,50
mlp_50_50_20,-0.38475893904763914,0.2702,-1.83468631342821,0.9662,Weak model,True,50,50,20
mlp_50_50_10,-0.3385838461870958,0.3294,-18.342346024461417,0.6691,Weak model,True,50,50,10
mlp_50_50_5,-0.4503727436884045,0.1802,-24.514354952964347,0.5492,Weak model,True,50,50,5
mlp_50_8_50,-0.38475893904763914,0.2702,-1.83468631342821,0.9662,Weak model,True,50,8,50
rf_nofs_50_8_20,-0.09548965692846145,0.804,8.850273999968376,0.6385,Weak model,True,50,8,20
rf_nofs_50_8_50,0.03691511559209104,0.9236,28.409421042692305,0.1287,Weak model,True,50,8,50
mlp_50_8_20,-0.38475893904763914,0.2702,-1.83468631342821,0.9662,Weak model,True,50,8,20
mlp_50_8_10,-0.3385838461870958,0.3294,-18.342346024461417,0.6691,Weak model,True,50,8,10
mlp_50_8_5,-0.4503727436884045,0.1802,-24.514354952964347,0.5492,Weak model,True,50,8,5
rf_nofs_50_50_10,-0.07971467809577226,0.8384,-15.914784279962978,0.4186,Weak model,True,50,50,10
mlp_50_5_50,-0.40138620368793543,0.2484,6.566690483826349,0.8749,Weak model,True,50,5,50
mlp_50_5_20,-0.40138620368793543,0.2484,6.566690483826349,0.8749,Weak model,True,50,5,20
mlp_50_5_10,-0.3677790740293646,0.2873,5.791824674111934,0.8955,Weak model,True,50,5,10
rf_nofs_50_50_20,-0.08229292938473065,0.8333,-4.641255616882146,0.7949,Weak model,True,50,50,20
rf_nofs_50_50_50,0.04997231088963561,0.8996,15.150357882561254,0.3853,Weak model,True,50,50,50
mlp_50_5_5,-0.47981854550657366,0.1507,-1.2251489632122174,0.9786,Weak model,True,50,5,5
mlp_50_3_50,-0.5109694136304462,0.1428,58.1644538860191,0.156,Weak model,True,50,3,50
mlp_50_3_20,-0.5109694136304462,0.1428,58.1644538860191,0.156,Weak model,True,50,3,20
rf_nofs_75_5_10,-0.13487966387383077,0.7082,24.292395337959203,0.409,Weak model,True,75,5,10
rf_nofs_75_5_20,-0.1315859734505398,0.7268,31.236474215143467,0.2088,Weak model,True,75,5,20
xgb_nofs_90_3_10,-0.19157634955401337,0.6019,71.8358918934949,0.071,Weak model,True,90,3,10
xgb_nofs_90_3_5,-0.16208979647223232,0.6508,31.62383666305208,0.4718,Weak model,True,90,3,5
xgb_nofs_50_5_5,-0.3723078731791991,0.2859,20.323170823585993,0.4821,Weak model,True,50,5,5
rf_nofs_90_3_20,-0.016148494249657808,0.9655,59.54768133066682,0.0511,Weak model,True,90,3,20
rf_nofs_90_5_5,-0.16126822730135493,0.6602,-28.002649441088913,0.4127,Weak model,True,90,5,5
rf_nofs_nogarch_50_50,-0.022119667082356465,0.9568,-9.043156188122424,0.7563,Weak model,False,,50,50
rf_nofs_nogarch_50_20,-0.022119667082356465,0.9568,-9.043156188122424,0.7563,Weak model,False,,50,20
rf_nofs_nogarch_50_10,-0.030433193957290494,0.9413,-37.418815622172566,0.2323,Weak model,False,,50,10
rf_nofs_90_5_10,-0.21391831698274688,0.5597,56.232123349399224,0.0681,Weak model,True,90,5,10
rf_nofs_nogarch_8_50,-0.08966326632814159,0.8201,1.187082267465641,0.9685,Weak model,False,,8,50
rf_nofs_nogarch_8_20,-0.08966326632814159,0.8201,1.187082267465641,0.9685,Weak model,False,,8,20
rf_nofs_nogarch_8_10,-0.09108418526671436,0.8123,-30.730961465008505,0.365,Weak model,False,,8,10
rf_nofs_90_5_20,-0.0840797969312197,0.8238,39.78134313263287,0.1625,Weak model,True,90,5,20
rf_nofs_nogarch_5_50,-0.10227556150988626,0.7887,28.94261228353831,0.361,Weak model,False,,5,50
rf_nofs_nogarch_5_20,-0.10227556150988626,0.7887,28.94261228353831,0.361,Weak model,False,,5,20
